caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,58.6242,54.268,,45.0,,96.2078,102662.0,1257.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,55.056,48.8,,45.0,,99.5204,65396.0,811.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,48.3464,36.098,,45.0,,98.8346,73111.0,913.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,60.3365,56.4,,45.0,,97.3236,90109.0,1200.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,43.0197,32.0,,45.0,,96.138,103448.0,1257.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,60.6546,56.64,,45.0,,96.382,100702.0,1268.0,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,56.1883,50.48,,45.0,,95.918,105923.0,1325.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,64.1412,61.26,,45.0,,97.6886,86003.0,1087.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,54.0756,47.28,,45.0,,98.2691,79473.0,773.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,60.1343,56.64,,45.0,,98.5604,76196.0,814.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,52.383,44.32,,45.0,,99.7412,62911.0,715.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,62.0532,59.6,,45.0,,98.6725,74934.0,786.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,59.9098,56.64,,45.0,,96.9885,93879.0,1002.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,58.3075,54.586,,45.0,,95.0154,116077.0,1291.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,47.9411,35.08,,45.0,,100.0,53760.0,765.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,47.9215,35.08,,45.0,,99.8761,61394.0,847.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,51.0905,40.52,,45.0,,100.0,58947.0,805.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,44.4765,29.64,,45.0,,98.0044,82450.0,1069.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,50.6621,40.52,,45.0,,97.2869,90522.0,1133.0,orchestration not applicable
