caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,37.9965,39.268,,9.0,,60.0,40568.0,,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,38.3867,39.8,,9.0,,60.0,47083.0,,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,18.0763,13.95,,2.0,,60.0,33802.0,,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,39.56,41.4,,9.0,,60.0,48827.0,,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,22.0,17.0,,9.0,,60.0,43239.0,,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,39.6,41.64,,9.0,,60.0,59486.0,,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,44.0,47.8,,9.0,,60.0,50750.0,,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,44.0,47.8,,9.0,,60.0,41355.0,,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,43.6971,51.64,,9.0,,60.0,31435.0,,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,39.4543,45.04,,9.0,,60.0,31318.0,,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,50.8714,62.8,,9.0,,60.0,35008.0,,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,43.4143,51.2,,9.0,,60.0,32489.0,,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,37.2686,41.64,,9.0,,60.0,39483.0,,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,37.2365,41.64,,9.0,,59.7756,62525.0,,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,17.7116,13.32,,2.0,,60.0,34081.0,,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,17.7116,13.32,,2.0,,60.0,29858.0,,orchestration not applicable
