caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,44.2667,44.0,,30.0,,60.0,43820.0,,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,27.878,22.4,,28.0,,57.8849,83795.0,,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,41.7684,37.6,,40.0,,60.0,57697.0,,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,44.2667,44.0,,30.0,,60.0,36915.0,,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,41300.0,,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,40064.0,,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,36446.0,,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,57.4286,60.0,,42.0,,60.0,35694.0,,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,47.5714,49.0,,35.0,,60.0,24328.0,,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,47.3143,47.6,,38.0,,60.0,55129.0,,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,59.1366,62.0,,50.0,,59.9563,60492.0,,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,58.2857,62.0,,46.0,,60.0,28199.0,,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,58.2857,62.0,,46.0,,60.0,39385.0,,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,47.1262,47.6,,38.0,,58.6833,74813.0,,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,21.9318,10.4,,28.0,,54.1015,126358.0,,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,22.671,10.4,,28.0,,58.7828,73693.0,,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,39.3409,37.6,,40.0,,44.6254,232964.0,,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,23.2667,11.2,,28.0,,59.6223,64249.0,,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,20.5347,11.2,,23.0,,50.6531,165153.0,,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,42.7368,44.0,,34.0,,44.5258,234085.0,,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,44.7732,44.0,,34.0,,59.7988,62263.0,,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,43.6,44.0,,25.0,,60.0,21129.0,,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,23.1728,11.2,,28.0,,59.0279,70936.0,,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,43.0208,44.0,,34.0,,46.6562,210118.0,,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,43.7228,44.0,,34.0,,51.9208,150891.0,,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,44.2667,44.0,,30.0,,60.0,47635.0,,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,43.7082,44.0,,34.0,,51.8116,152120.0,,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,21.7388,13.6,,23.0,,49.479,178361.0,,orchestration not applicable
power_trade_standard_v1_029,上个月电价查询,data_query,SUCCESS,22.1364,13.6,,28.0,,43.6636,243785.0,,orchestration not applicable
power_trade_standard_v1_030,明天电价预测,data_query,SUCCESS,41.413,37.6,,40.0,,57.7492,85322.0,,orchestration not applicable
power_trade_standard_v1_031,电价上涨原因分析,business_answer,SUCCESS,44.8,44.0,,34.0,,60.0,58635.0,,orchestration not applicable
power_trade_standard_v1_032,选择最省钱用电套餐,robustness,SUCCESS,70.2267,74.4,,55.0,,60.0,28003.0,,orchestration not applicable
power_trade_standard_v1_033,账单分析与套餐推荐,business_answer,SUCCESS,50.9333,52.0,,36.0,,60.0,20431.0,,orchestration not applicable
power_trade_standard_v1_034,今日盘前交易简报,business_answer,SUCCESS,43.7206,44.0,,34.0,,51.9044,151076.0,,orchestration not applicable
power_trade_standard_v1_035,大丰风电场功率预测,data_query,SUCCESS,28.1109,20.0,,28.0,,58.036,82095.0,,orchestration not applicable
power_trade_standard_v1_036,威海光伏站现货申报策略,strategy_advice,SUCCESS,40.3536,38.8,,32.0,,59.875,61406.0,,orchestration not applicable
power_trade_standard_v1_037,浙江未来两天日前现货电价预测,data_query,SUCCESS,24.4022,13.6,,28.0,,58.014,82342.0,,orchestration not applicable
power_trade_standard_v1_038,代理售电负荷预测,robustness,SUCCESS,70.2267,74.4,,55.0,,60.0,42072.0,,orchestration not applicable
power_trade_standard_v1_039,后天全省光伏风电预测,data_query,SUCCESS,21.8271,11.2,,23.0,,58.8385,73067.0,,orchestration not applicable
power_trade_standard_v1_040,江苏能量块后天预测,data_query,SUCCESS,41.6522,37.6,,40.0,,59.2642,68278.0,,orchestration not applicable
power_trade_standard_v1_041,今明两天竞价空间,data_query,SUCCESS,28.2259,20.0,,28.0,,58.7641,73904.0,,orchestration not applicable
power_trade_standard_v1_042,未来用户预测负荷,robustness,SUCCESS,67.4811,72.8,,56.0,,51.8053,152190.0,,orchestration not applicable
power_trade_standard_v1_043,历史用户实际电量,robustness,SUCCESS,70.4267,74.4,,58.0,,60.0,10465.0,,orchestration not applicable
